sep=,

File creation date: 20/02/2016
Annex III,Last update: 05/08/2015
LIST OF SUBSTANCES WHICH COSMETIC PRODUCTS MUST NOT CONTAIN EXCEPT SUBJECT TO THE RESTRICTIONS LAID DOWN

Substance identification,Restrictions

Reference number,Chemical name / INN,Name of Common Ingredients Glossary,CAS Number,EC Number,"Product Type, body parts",Maximum concentration in ready for use preparation,Other,Wording of conditions of use and warnings,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
1a,"Boric acid, borates and tetraborates with the exception of substance no 1184 in Annex II","BORIC ACID","10043-35-3 / 11113-50-1","233-139-2 / 234-343-4","(a) Talc (b) Oral products (c) Other products (excluding bath products and hair waving products) ","(a) 5% (as boric acid)  (b) 0.1% (as boric acid)  (c) 3% (as boric acid)","(a)  Not to be used in products for children under 3 years of age  Not to be used on peeling or irritated skin if the concentration of free soluble borates exceeds 1.5% (as boric acid)  (b) Not to be used in products for children under 3 years of age  (c)  Not to be used in products for children under 3 years of age  Not to be used on peeling or irritated skin if the concentration of free soluble borates exceeds 1.5% (as boric acid)  ","(a) Not to be used for children under 3 years of age  Not to be used on peeling or irritated skin  (b) Not to be swallowed  Not to be used for children under 3 years of age  (c) Not to be used for children under 3 years of age  Not to be used on peeling or irritated skin","(EC) No 1223/2009","2005/80/EC","790/2009 ","1249/09-Opinion on Boron compounds;1345/10-Opinion on Sodium Perborate and Perboric Acid;1523/13-Opinion on the safety of boron compounds in cosmetic products.;0025/98-Opinion on Boric acid, Borates and Tetraborates","","BORIC ACID;MEA-BORATE;MIPA-BORATE;POTASSIUM BORATE;SODIUM BORATE;SODIUM PERBORATE;TRIOCTYLDODECYL BORATE;ZINC BORATE","Reprotoxic Cat. 1B (C>=5.5%)  ",13/06/2014
1b,"Tetraborates, see also 1a)","","","","(a) Bath products (b) Hair products ","(a) 18% (as boric acid) (b) 8% (as boric acid) ","(a) Not to be used in products for children under 3 years of age ","(a) Not to be used for children under 3 years of age (b) Rinse well ","(EC) No 1223/2009","2000/6/EC","","1523/13-Opinion on the safety of boron compounds in cosmetic products.;0025/98-Opinion on Boric acid, Borates and Tetraborates","","POTASSIUM BORATE;SODIUM BORATE","",13/06/2014
2a,"Thioglycolic acid and its salts","THIOGLYCOLIC ACID","68-11-1","200-677-4","(a) Hair products (b) Depilatories (c) Hair rinse -off products  (d) Products intended for eyelash waving","(a)  1) 8%  2) 11%  (b)  5%  (c) 2%  (d) 11% The abovementioned percentages are calculated as thioglycollic acid","(a) General use ready for use pH 7 to 9.5  Professional use ready for use pH 7 to 9.5  (b) ready for use pH 7 to 12.7  (c) ready for use pH 7 to 9.5 (d) ready for use pH 7 to 9,5   ","Condition of use: (a) (b) (c) Avoid contact with eyes  In the event of contact with eyes, rinse immediately with plenty of water and seek medical advice  (a) (c) (d) Wear suitable gloves  Warnings to be printed on the label: (a) (b) (c) Contains thioglycolate  Follow the instructions  Keep out of reach of children (a) (d) For professional use only: Cotains thiglycolata, folow the instruction. ","(EC) No 1223/2009","88/233/EEC","","1520/13-Thioglycolic acid and its salts (TGA)","","AMMONIUM THIOGLYCOLATE;CALCIUM THIOGLYCOLATE;CALCIUM THIOGLYCOLATE HYDROXIDE;ETHANOLAMINE THIOGLYCOLATE;MAGNESIUM THIOGLYCOLATE;POTASSIUM THIOGLYCOLATE;SODIUM THIOGLYCOLATE;STRONTIUM THIOGLYCOLATE;THIOGLYCOLIC ACID","",05/08/2015
2b,"Thioglycolic acid esters","","","","Hair waving or straightening products ","(a) 8%  (b) 11%  The abovementioned percentages are calculated as thioglycollic acid","(a) General use ready for use pH 6 to 9.5  (b) Professional use ready for use pH 6 to 9.5  ","Conditions of use: (a) (b) May cause sensitization in the event of skin contact  Avoid contact with eyes  In the event of contact with eyes, rinse immediately with plenty of water and seek medical advice  Wear suitable gloves Warnings: Contains thioglycolate  Follow the instructions Keep out of reach of children (b) For professional use only ","(EC) No 1223/2009","88/233/EEC","","","","BUTYL THIOGLYCOLATE;ETHYL THIOGLYCOLATE;GLYCERYL THIOGLYCOLATE;ISOOCTYL THIOGLYCOLATE;ISOPROPYL THIOGLYCOLATE;METHYL THIOGLYCOLATE","",17/10/2010
3,"Oxalic acid, its esters and alkaline salts","OXALIC ACID","144-62-7","205-634-3","Hair products","5%","Professional use ","For professional use only","(EC) No 1223/2009","82/368/EEC","","","","DIBUTYL OXALATE;DIETHYL OXALATE;DIISOBUTYL OXALATE;DIISOPROPYL OXALATE;DILITHIUM OXALATE;DIMETHYL OXALATE;DIPOTASSIUM OXALATE;DIPROPYL OXALATE;OXALIC ACID;SODIUM OXALATE","",17/10/2010
4,"Ammonia","AMMONIA","7664-41-7 / 1336-21-6","231-635-3 / 215-647-6","","6% (as NH3)","","Above 2%: Contains ammonia","(EC) No 1223/2009","82/368/EEC","","","","AMMONIA;AMMONIUM HYDROXIDE","",17/10/2010
5,"Tosylchloramide sodium (INN)","CHLORAMINE-T","127-65-1","204-854-7","","0.2%","","","(EC) No 1223/2009","82/368/EEC","","","Benzenesulfonamide, N-chloro-4-methyl-, sodium salt (1:1) 
 
","CHLORAMINE T","",17/10/2010
6,"Chlorates of alkali metals","POTASSIUM CHLORATE / SODIUM CHLORATE ","3811-04-9 / 7775-09-9","223-289-7 / 231-887-4","(a) Toothpaste (b) Other products","(a) 5% (b) 3% ","","","(EC) No 1223/2009","82/368/EEC","","","","POTASSIUM CHLORATE;SODIUM CHLORATE","",04/11/2010
7,"Dichloromethane","DICHLOROMETHANE","75-09-2","200-838-9","","35% (when mixed with 1,1,1 -trichloroethane, total concentration must not exceed 35%)","0.2% as maximum impurity content","","(EC) No 1223/2009","82/368/EEC","","","","DICHLOROMETHANE","Carcinogenic Cat. 2  ",17/10/2010
8a,"p -Phenylenediamine and its salts","","106-50-3 / 624-18-0 / 16245-77-5","203-404-7 / 210-834-9 / 240-357-1","Hair dye substance in oxidative hair dye products","","(a) General use (b) Professional use For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base","(a) To be printed on the label: The mixing ratio. ‘ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary “black henna” tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.’ (b) To be printed on the label: The mixing ratio. ‘For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary “black henna” tattoo in the past. Contains phenylenediamines. Wear suitable gloves.’","(EC) No 344/2013","","","","p-Phenylenediamine; p-Phenylenediamine HCl; p-Phenylenediamine Sulphate","","",03/03/2015
