sep=,

File creation date: 20/02/2016
ANNEX II (CosIng 2),Last update: 23/06/2015
LIST OF SUBSTANCES PROHIBITED IN COSMETIC PRODUCTS

Substance identification

Reference Number,Chemical name / INN,CAS Number,EC Number,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
1,"N -(5-Chlorobenzoxazol-2-yl)acetamide","35783-57-4","-","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
2,"(2 -Acetoxyethyl)trimethylammonium hydroxide (Acetylcholine) and its salts","51-84-3","200-128-9 ","(EC) No 1223/2009","82/368/EEC","","","","(*)Acetylcholine;(*)Acetylcholine bromide; Ethanaminium, 2-(acetyloxy)-N,N,N-trimethyl-, bromide (1:1); (2-Acetoxyethyl)trimethylammonium bromide    ;(*)Acetylcholine chloride;(*)Acetylcholine iodide;(*)Acetylcholine perchlorate","",17/10/2010
3,"Deanol aceglumate (INN)","3342-61-8","222-085-5","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
4,"Spironolactone (INN)","52-01-7","200-133-6","(EC) No 1223/2009","76/768/EEC","","","","SPIRONOLACTONE","",15/10/2010
5,"[4 -(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl]acetic acid (Tiratricol (INN)) and its salts","51-24-1 ","200-086-1","(EC) No 1223/2009","82/368/EEC","","","Triiodothyroacetic acid; (4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl)acetic acid ","(*)Sodium 4-(4-hydroxy-3-iodophenoxy)-3,5-diiodophenylacetate","",17/10/2010
6,"Methotrexate (INN)","59-05-2 ","200-413-8 ","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
7,"Aminocaproic acid (INN) and its salts","60-32-2","200-469-3","(EC) No 1223/2009","76/768/EEC","","","","6-AMINOCAPROIC ACID","",17/10/2010
8,"Cinchophen (INN), its salts, derivatives and salts of these derivatives","132-60-5 / 5949-18-8","205-067-1 / 227-710-5","(EC) No 1223/2009","76/768/EEC","","","","(*)cinchophen ;(*)Cinchophen sodium salt; Sodium 2-phenyl-4-quinolinecarboxylate","",17/10/2010
9,"Thyropropic acid (INN) and its salts","51-26-3","-","(EC) No 1223/2009","76/768/EEC","","","4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodobenzenepropanoic acid 
","","",17/10/2010
10,"Trichloroacetic acid","76-03-9","200-927-2","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
